name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,windspeed,cloudcover,solarradiation
odisha,01-05-2022,33.5,25.6,29.8,42.9,25.6,36.3,25.2,77.1,0,27.7,77.3,322.8
odisha,02-05-2022,38,27,31.1,42.6,29.2,36,23.2,64.3,0,24.2,27.6,313.5
odisha,03-05-2022,37.7,22.7,30.6,43.3,22.7,35.7,24.2,72.2,16.919,29.5,46.1,323.8
odisha,04-05-2022,37.4,24.8,29.9,44.6,24.8,34.4,23.4,69.6,0.096,22.3,31.7,298.4
odisha,05-05-2022,35.5,24.8,29.3,46.3,24.8,35.2,25.2,79.5,24.88,28,72.1,307.7
odisha,06-05-2022,34,21,26.7,43.6,21,28.3,23.1,81.5,12.152,25.9,66,319.8
odisha,07-05-2022,35.4,25.8,29.8,44.7,25.8,34.8,25.2,78,0,18.4,45.8,312.3
odisha,08-05-2022,36,26,30.1,44.5,26,34.6,24.2,73,0,24.1,36,295.9
odisha,09-05-2022,33.8,26,28.7,42.9,26,33.7,25.1,81.7,5.972,18.4,65.3,95.6
odisha,10-05-2022,33,26,28.6,39.3,26,33.8,25.6,84.5,10.947,24.1,78.7,120.8
odisha,11-05-2022,32.4,25,28.7,41,25,33.8,25.8,85.5,27.933,24.1,70.4,277.1
odisha,12-05-2022,33.5,25,29.4,43.8,25,35.2,25.9,82.4,2.987,25.9,53.4,315.9
odisha,13-05-2022,33.8,27.7,30.1,43.8,32.3,37.1,25.8,78.7,1.99,29.5,33.9,251.4
odisha,14-05-2022,34.4,28,30.3,46.2,32.4,38.1,26.2,79.4,0,29.5,49.9,312.5
odisha,15-05-2022,34.6,28,30.7,46.1,33.4,39.4,26.8,80.8,0,28.1,52,326.7
odisha,16-05-2022,34.8,28,30.7,47.9,34.6,40,27.1,82.2,0,22.3,59.5,327.7
odisha,17-05-2022,35.3,28,30.6,47.4,34.6,39,26.6,80.1,0,25.9,48.1,325.3
odisha,18-05-2022,35.4,28,30.5,43.7,33.6,38.5,26.4,79.8,0,22.3,61.8,315.6
odisha,19-05-2022,34,28.5,30.6,45.1,34.4,39.7,27,81.4,0,18.4,79.8,321.4
odisha,20-05-2022,37,26,31.3,49.3,26,38.6,25.7,73.5,0,25.6,36.1,315.4
odisha,21-05-2022,36,27,31.1,48.2,30.8,39.6,26.4,77.4,0.199,25.9,45.6,319.6
odisha,22-05-2022,32,23,26.3,36.8,23,28.2,23.5,85.6,36.863,21.7,72.6,283.8
odisha,23-05-2022,35.1,25,29.5,42.5,25,34.2,24.1,74.4,0,18.4,56.6,300.4
odisha,24-05-2022,34,22,28.7,40.6,22,32.5,23.4,74.3,16.918,38.9,57.4,292.6
odisha,25-05-2022,36,25,30.3,45.1,25,35.2,24.2,71.6,0,11.2,31.1,310.3
odisha,26-05-2022,35.7,27,31,48.1,31.2,39.9,26.8,79.1,0,18.4,36.6,293
odisha,27-05-2022,38,28,31.8,46.3,32.7,37.7,24.2,65.5,0,18.4,32.9,282.4
odisha,28-05-2022,38,28.1,32.3,44.6,33.6,38.8,24.5,65.7,0,16.3,49.7,317.5
odisha,29-05-2022,37.4,26.8,31.9,47.9,29,39.1,24.8,67.4,0,16.6,41.7,267.5
odisha,30-05-2022,34,25.1,29.9,43.1,25.1,35.6,24.8,74.9,10.947,18.4,72.4,270.7
odisha,31-05-2022,37.4,28,32,50.5,34.5,42.3,27.2,77.4,0,22.3,61.9,276.7
odisha,01-06-2022,36,29,30.9,45,33.6,38.4,25.7,74.5,0.024,24.1,69.9,300
odisha,02-06-2022,36.2,28,31.3,49.7,31.9,41,27.1,79.2,0,22.3,66.8,307.4
odisha,03-06-2022,36,28,31.2,50.2,32.7,41.5,27.3,80.5,0,22.3,78.3,282.5
odisha,04-06-2022,35.3,24,30.7,46.9,24,39.8,26.9,81,16.922,25.9,78.4,278.5
odisha,05-06-2022,33.4,25,29.9,45.8,25,39.2,27.4,86.8,0,22.3,81.9,306.3
odisha,06-06-2022,34.7,26,29.8,46,26,35.4,25,76.3,0.024,22.3,49.7,317.5
odisha,07-06-2022,36,28,30.9,50.2,34.6,40,27,80.8,0,22.3,40.9,326.2
odisha,08-06-2022,35.2,29,31.3,49.2,36.9,42.6,27.9,82.9,0,22.3,61.3,324
odisha,09-06-2022,32.2,29.8,30.6,45.3,39.5,41.8,28,86.2,0,18.4,85.2,272.6
odisha,10-06-2022,31,28,29.2,42.4,32.7,37.4,27,88.2,0,22.3,82.8,246.3
odisha,11-06-2022,31,27.1,28.7,40.2,31.3,35,26,85.4,0.005,22.3,76.1,282.4
odisha,12-06-2022,36.7,26,30.6,49.2,26,39.2,26.9,82,0,24.1,66.9,261.4
odisha,13-06-2022,38.4,27,32.1,47.8,30.7,39.6,25.2,68.8,0,18.4,33.5,313.5
odisha,14-06-2022,36.2,27.9,31.1,50.6,30.7,40.1,26.4,77.1,0,29.5,61.2,289.3
odisha,15-06-2022,35.2,26.9,29.9,47.2,30,36.3,25.1,76.2,0,30.6,82.2,195
odisha,16-06-2022,35.8,27,30.7,44.4,30.1,37.2,25.2,73.9,0,29.5,65.5,278.2
odisha,17-06-2022,33.7,26.9,29.4,42.2,30.5,36.3,26.1,82.9,1.99,29.5,74.6,274.6
odisha,18-06-2022,35,28,30.4,43,32,37.1,25.4,75.7,0,35.3,71.6,255
odisha,19-06-2022,36.3,25,29.3,44.4,25,34,25.3,81.3,4.976,37.1,77.3,223
odisha,20-06-2022,33.4,23,27.6,44.1,23,31,25.1,87.4,14.93,20.5,91.3,119.8
odisha,21-06-2022,33.2,24.6,28.8,43.1,24.6,34.3,25.6,84.1,0.018,18.4,76.4,189.4
odisha,22-06-2022,33,26,28,41.3,26,31.4,25.6,87.9,7.961,25.9,75.3,223.2
odisha,23-06-2022,32.8,26,28.6,44.6,26,34.1,26.3,88,0,16.6,86.3,187
odisha,24-06-2022,30.2,26,28.1,37.7,26,33.1,25.8,87.3,0,18.4,87.4,214.7
odisha,25-06-2022,31.6,26,28.5,39.9,26,33.1,25.5,84.4,0.003,16.6,79.7,246.3
odisha,26-06-2022,34.1,27,30.1,45.3,31.2,37.1,25.8,78.8,0,18.4,55.6,182.5
odisha,27-06-2022,34.1,27.6,30.4,45.8,33.2,38.5,26.5,80.7,0.597,20.5,57.8,157.5
odisha,28-06-2022,33,27,28.7,42.3,31.2,34.9,26.4,88.1,3.981,11.7,54.7,151.3
odisha,29-06-2022,34,26.8,29.7,46,30.9,37.2,26.6,84.3,0.697,14.8,53.9,194.3
odisha,30-06-2022,32.7,28,29.5,44.2,34.6,37.7,27,86.5,2.986,13,77.4,189.5
odisha,01-07-2022,33.8,28,30.2,44.8,33.6,39.1,27.1,84,0.019,14.8,85.5,190.3
odisha,02-07-2022,32,26.4,29.1,43,26.4,36.2,26.5,86.2,1.422,13,88.3,47.1
odisha,03-07-2022,33,26,29.3,42.3,26,36.3,26.5,85.8,0,14.8,80.7,195.9
odisha,04-07-2022,33.6,26.7,28.6,43.9,30.8,35,26.6,89.9,46.821,33.5,79.3,169.3
odisha,05-07-2022,28,26,27,35.7,26,31.3,26.8,98.7,18.038,13,97.1,84.6
odisha,06-07-2022,31.2,26,27.8,40.7,26,32.4,26.4,92.4,17.913,13,73.9,253.8
odisha,07-07-2022,32,26,27.9,42.3,26,33.5,26.8,94.6,21.91,13,61,217
odisha,08-07-2022,32,26,28.2,42.3,26,33.8,26.8,92.8,11.944,11.2,67.7,218.2
odisha,09-07-2022,32.4,26,28.5,43.6,26,34.6,26.8,91.1,6.979,22.2,64,216.1
odisha,10-07-2022,32.5,26,28.7,43.1,26,34.4,26.4,87.7,0.102,24.1,55.8,182.9
odisha,11-07-2022,30.7,27,28.3,40.5,31.2,35.2,27,92.5,5.985,16.6,70.7,202
odisha,12-07-2022,31.8,26.9,28.5,43,31.3,35.4,27,91.9,7.981,20.5,81.7,234.3
odisha,13-07-2022,30,26,27.5,39,26,32.4,26.8,96.1,48.787,24.1,82,218.4
odisha,14-07-2022,30.4,25.9,27.5,39.6,25.9,31.8,26.6,95.4,4.024,14.8,86.1,182.8
odisha,15-07-2022,31,26,27.9,42.4,26,33.6,26.9,94.6,11.068,11.2,77.1,264.3
odisha,16-07-2022,28,25,26.7,34.6,25,29.8,26.6,99.5,45.864,13,88.7,201
odisha,17-07-2022,30.8,25,27.6,41.5,25,32.8,26.5,94,49.483,22.3,84.4,208.3
odisha,18-07-2022,31,25.6,28,41.4,25.6,33.1,26.6,92.9,7.976,25.2,75.5,301.5
odisha,19-07-2022,34.7,26,28.9,44.9,26,34.9,26.5,88.3,0,28.8,65.7,230.7
odisha,20-07-2022,31,26,27.6,42.5,26,32.6,27,96.7,43.186,24.1,90.8,183.9
odisha,21-07-2022,30.6,25,28,41.1,25,33.3,26.7,93.1,3.981,13,87.9,185.5
odisha,22-07-2022,30,26.8,28.2,39.5,31,35.2,27.3,95.2,2.192,14.8,85.8,98.9
odisha,23-07-2022,29,25,27.1,38.2,25,31.6,26.8,97.9,7.875,14.8,85.7,131.1
odisha,24-07-2022,30,25,27.5,39.7,25,32.8,26.8,96.2,33.04,13,86.3,238.4
odisha,25-07-2022,29.6,25,26.9,39.8,25,31,26.6,98.3,41.598,22.3,88.8,220.3
odisha,26-07-2022,31,26,28.1,40.7,26,33.8,26.8,92.6,0.199,18.4,65.9,209.3
odisha,27-07-2022,33.2,26,29.2,43.1,26,35.7,26.4,85.8,0,18.4,44.6,252.3
odisha,28-07-2022,33.8,26,29.7,45.4,26,37.2,26.8,85.3,0,14.8,42.6,240.3
odisha,29-07-2022,34.3,26.9,30,47.4,31.2,38.6,27,84.9,0,20.5,44.9,277.3
odisha,30-07-2022,34.3,27,30.3,46.8,31.9,39.5,27.4,85.2,0.002,20.5,47,221.6
odisha,31-07-2022,33.7,28,30.3,47,35,40.7,28,87.9,0,20.5,52.4,208.7
odisha,01-08-2022,34.2,25,29.6,49.6,25,38.2,27.5,89.1,52.754,18.4,69.9,208.2
odisha,02-08-2022,34,26.4,29.8,47.3,26.4,38.3,27.3,87.2,0,16.6,63,163.4
odisha,03-08-2022,32.2,27.7,29.5,44.2,33.2,37.8,27.1,87.8,0.121,18.4,72.6,219.1
odisha,04-08-2022,32.5,27,28.5,41.5,31.3,34.9,26.6,90.1,2.019,14.7,69,189.9
odisha,05-08-2022,31.4,26,28.2,43.2,26,34.5,27.1,93.8,3.155,20.5,66.6,236.8
odisha,06-08-2022,29,25,27.1,37.2,25,31.2,26.7,98,40.338,28.8,86.9,127.5
odisha,07-08-2022,31.4,26,28,42.1,26,33.1,26.7,93.1,0.266,20.5,82.6,200
odisha,08-08-2022,31.3,26.8,27.8,40.8,30.9,33.7,26.9,95.2,40.912,27.7,83.2,218.9
odisha,09-08-2022,28,25,26.9,34.6,25,30.3,26,94.8,35.098,20.5,94.2,97.6
odisha,10-08-2022,28,24.9,26.4,33.6,24.9,27.9,25.8,97,5.787,18.4,96.7,43.8
odisha,11-08-2022,29,24.9,26.7,38.2,24.9,30.1,26.2,97.4,23.913,11.2,97.8,58.4
odisha,12-08-2022,28,26,26.9,34.6,26,30.7,26.7,99,16.947,8.2,97.7,61.8
odisha,13-08-2022,26.2,25,25.6,26.2,25,25.6,25.6,99.8,17.294,24.1,98.7,37.5
odisha,14-08-2022,27,25,25.5,31.2,25,25.7,25.4,99.4,69.797,22.3,100,21.9
odisha,15-08-2022,31.2,26.8,28.6,40.7,30.8,35.3,26.7,90.1,2.986,27.7,82.9,246.4
odisha,16-08-2022,33.5,26.5,29.4,44.6,26.5,36.4,26.5,85.1,0,18.4,56.9,256.9
odisha,17-08-2022,33,26,29.2,45.8,26,36.7,26.9,88,3.984,24.2,74.8,237.2
odisha,18-08-2022,32.4,26.9,29.8,44.3,31.1,38.8,27.3,86.6,0.03,25.9,88.8,186.6
